SiteBlock,SiteBlock2,SiteIDLookUp,Description,RampMain,Direction,LaneNumbs,TotalCapacity,TMPCapacity,RampReroute,DataSource,Cluster,FreeSpeedM,ScM,NM,FreeSpeedD,ScD,ND,DetourPlan,DetourDistance,DetourSpeed,Distance,Speed ,DetourCap,DetourDelay
SH16 Alten St to Waterview WB,SH16 Alten St to Waterview WB,01610001,SH16 Alten Rd to Grafton Rd Off Ramp WB,Mainline,WB,2,3600,1400,NA,Website Mar-19,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Grafton Rd On Ramp to Alten Rd EB,SH16 Grafton Rd On Ramp to Alten Rd EB,01620001,SH16 Grafton Rd On Ramp to Alten Rd EB,Mainline,EB,3,5400,1400,01640002,Website Mar-19,C5,95,70,1.1,55,15,1.1,SH16_116,1.7,60,1.3,80,1200,0.725
SH16 Southern SH1 On Ramp to Grafton Rd On Ramp EB,SH16 Southern SH1 On Ramp to Grafton Rd On Ramp EB,01629001,SH16 Southern SH1 On Ramp to Grafton Rd On Ramp EB,Mainline,EB,2,3600,1400,01640002,Any2018-scaled,C5,95,70,1.1,55,15,1.1,SH16_116,1.7,60,1.3,80,1200,0.725
SH16 Grafton Rd Off Ramp to Southern SH1 Off Ramp WB,SH16 Grafton Rd Off Ramp to Southern SH1 Off Ramp WB,01619001,SH16 Grafton Rd Off Ramp to Southern SH1 Off Ramp WB,Mainline,WB,2,3600,1400,01660002,Any2018-scaled,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Southern SH1 Off Ramp to Wellesley St On Ramp WB,SH16 Southern SH1 Off Ramp to Wellesley St On Ramp WB,01610002,SH16 Southern SH1 Off Ramp to Wellesley St On Ramp WB,Mainline,WB,2,3600,1400,01660001,Website Mar-18,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Wellesley St to Quay St (Port) EB,SH16 Wellesley St to Quay St (Port) EB,01620002,SH16 Wellesley St Off Ramp to Southern SH1 On Ramp EB,Mainline,EB,2,3600,1400,01640002,Any2018-scaled,C5,95,70,1.1,55,15,1.1,SH16_116,1.7,60,1.3,80,1200,0.725
SH16 Northern SH1 On Ramp to Wellesley St Off Ramp EB,SH16 Northern SH1 On Ramp to Wellesley St Off Ramp EB,01629002,SH16 Northern SH1 On Ramp to Wellesley St Off Ramp EB,Mainline,EB,2,3600,1400,01640002,Any2018-scaled,C5,95,70,1.1,55,15,1.1,SH16_116,1.7,60,1.3,80,1200,0.725
SH16 Wellesley St On Ramp to Northern SH1 Off Ramp WB,SH16 Wellesley St On Ramp to Northern SH1 Off Ramp WB,01619002,SH16 Wellesley St On Ramp to Northern SH1 Off Ramp WB,Mainline,WB,1,3600,1400,01660001,Website Year2014,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Northern SH1 Off Ramp to Southern SH1 On Ramp WB,SH16 Northern SH1 Off Ramp to Southern SH1 On Ramp WB,01610003,SH16 Northern SH1 Off Ramp to Southern SH1 On Ramp WB,Mainline,WB,1,1900,1400,01660001,Any2018-scaled,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Southern SH1 On Ramp to Northern SH1 & Hobson St On Ramp WB,SH16 Southern SH1 On Ramp to Northern SH1 & Hobson St On Ramp WB,01610004,SH16 Southern SH1 On Ramp to Northern SH1 & Hobson St On Ramp WB,Mainline,WB,2,3600,1400,NA,Website Year2014,C15,70,25,1.5,40,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 Northern SH1 & Nelson St Off Ramp to Southern SH1 Off Ramp EB,SH16 Northern SH1 & Nelson St Off Ramp to Southern SH1 Off Ramp EB,01620004,SH16 Northern SH1 & Nelson St Off Ramp to Southern SH1 Off Ramp EB,Mainline,EB,3,5400,1400,01640003,Website Year2014,C15,70,25,1.5,40,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 Northern SH1 & Hobson On Ramp to Newton Rd On Ramp WB,SH16 Northern SH1 & Hobson On Ramp to Newton Rd On Ramp WB,01619004,SH16 Northern SH1 & Hobson On Ramp to Newton Rd On Ramp WB,Mainline,WB,2,6400,1400,NA,Website Year2014,C15,70,25,1.5,40,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB,SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB,01610005,SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB,Mainline,WB,4,7200,1400,01660006,Website Year2014,C15,70,25,1.5,40,25,1.5,SH16_126,4,40,3.8,105,1200,3.828571429
SH16 St Lukes Rd On Ramp to Newton Rd Off Ramp EB,SH16 St Lukes Rd On Ramp to Newton Rd Off Ramp EB,01620005,SH16 St Lukes Rd On Ramp to Newton Rd Off Ramp EB,Mainline,EB,4,7600,1400,01640006,Website Mar-18,C15,70,25,1.5,40,25,1.5,SH16_155,8.2,40,6,100,1200,8.7
SH16 St Lukes Rd Interchange WB,SH16 St Lukes Rd Interchange WB,01610006,SH16 St Lukes Rd Interchange WB,Mainline,WB,4,7200,1400,01660006,Website Year2014,C15,70,25,1.5,40,25,1.5,SH16_126,4,40,3.8,105,1200,3.828571429
SH16 St Lukes Rd Interchange EB,SH16 St Lukes Rd Interchange EB,01620006,SH16 St Lukes Rd Interchange EB,Mainline,EB,4,7200,1400,01640006,Website Mar-18,C15,70,25,1.5,40,25,1.5,SH16_155,8.2,40,6,100,1200,8.7
SH16 St Lukes Rd On Ramp to Great Nth Rd Off Ramp WB,SH16 St Lukes Rd On Ramp to Great Nth Rd Off Ramp WB,01610007,SH16 St Lukes Rd On Ramp to Great Nth Rd Off Ramp WB,Mainline,WB,4,7200,1400,01660006,Website Mar-18,C15,70,25,1.5,40,25,1.5,SH16_126,4,40,3.8,105,1200,3.828571429
SH16 Great North Rd (Waterview) to CMJ EB,SH16 Great North Rd (Waterview) to CMJ EB,01620007,SH16 Great Nth Rd On Ramp to St Lukes Rd Off Ramp EB,Mainline,EB,4,7200,1400,01640008,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_154,4,40,3.9,105,1200,3.771428571
SH16 Waterview to Lincoln Rd WB,SH16 Waterview to Lincoln Rd WB,01619008,SH16 Great Nth Rd On Ramp to Rosebank Rd Off Ramp WB,Mainline,WB,5,9000,1400,01660008,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_127,8.2,40,4.9,105,1200,9.5
SH16 Rosebank Rd On Ramp to Great Nth Rd Off Ramp EB,SH16 Rosebank Rd On Ramp to Great Nth Rd Off Ramp EB,01629008,SH16 Rosebank Rd On Ramp to Great Nth Rd Off Ramp EB,Mainline,EB,4,7200,1400,01640010,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_152,2.5,40,1.9,105,1200,2.664285714
SH16 Patiki Rd Off Ramp to Rosebank Rd On Ramp EB,SH16 Patiki Rd Off Ramp to Rosebank Rd On Ramp EB,01620009,SH16 Patiki Rd Off Ramp to Rosebank Rd On Ramp EB,Mainline,EB,4,7200,1400,01640010,Any2018-scaled,C14,90,35,1.5,50,30,1.5,SH16_152,2.5,40,1.9,105,1200,2.664285714
SH16 Rosebank Rd Off Ramp to Patiki Rd On Ramp WB,SH16 Rosebank Rd Off Ramp to Patiki Rd On Ramp WB,01610009,SH16 Rosebank Rd Off Ramp to Patiki Rd On Ramp WB,Mainline,WB,4,7200,1400,01660009,Any2018-scaled,C14,90,35,1.5,50,30,1.5,SH16_128,2.4,40,1.9,105,1200,2.514285714
SH16 Patiki Rd On Ramp to Te Atatu Rd Off Ramp WB,SH16 Patiki Rd On Ramp to Te Atatu Rd Off Ramp WB,01610010,SH16 Patiki Rd On Ramp to Te Atatu Rd Off Ramp WB,Mainline,WB,4,7200,1400,01660009,Website Mar-19,C14,90,35,1.5,50,30,1.5,SH16_128,2.4,40,1.9,105,1200,2.514285714
SH16 Te Atatu Peninsula On Ramp to Patiki Rd Off Ramp EB,SH16 Te Atatu Peninsula On Ramp to Patiki Rd Off Ramp EB,01620010,SH16 Te Atatu Peninsula On Ramp to Patiki Rd Off Ramp EB,Mainline,EB,4,8800,1400,01640011,Website Mar-19,C14,90,35,1.5,50,30,1.5,SH16_151,14.8,40,6.2,105,1200,18.65714286
SH16 Te Atatu Rd Interchange WB,SH16 Te Atatu Rd Interchange WB,01610011,SH16 Te Atatu Rd Interchange WB,Mainline,WB,3,5400,1400,01660011,Any2018-scaled,C14,90,35,1.5,50,30,1.5,SH16_130,4.8,40,2.7,105,1200,5.657142857
SH16 Te Atatu Peninsula On Ramp to Te Atatu Sth On Ramp EB,SH16 Te Atatu Peninsula On Ramp to Te Atatu Sth On Ramp EB,01620011,SH16 Te Atatu Peninsula On Ramp to Te Atatu Sth On Ramp EB,Mainline,EB,4,7600,1400,01640011,Any2018-scaled,C14,90,35,1.5,50,30,1.5,SH16_151,14.8,40,6.2,105,1200,18.65714286
SH16 Te Atatu Rd On Ramp to Lincoln Rd Off Ramp WB,SH16 Te Atatu Rd On Ramp to Lincoln Rd Off Ramp WB,01610012,SH16 Te Atatu Rd On Ramp to Lincoln Rd Off Ramp WB,Mainline,WB,3,5400,1400,01660011,Website Mar-19,C13,105,40,1.5,55,25,1.1,SH16_130,4.8,40,2.7,105,1200,5.657142857
SH16 Lincoln Rd Off Ramp to Te Atatu Rd On Ramp EB,SH16 Lincoln Rd Off Ramp to Te Atatu Rd On Ramp EB,01620012,SH16 Lincoln Rd Off Ramp to Te Atatu Rd On Ramp EB,Mainline,EB,3,5400,1400,01640013,Website Mar-19,C13,105,40,1.5,55,25,1.1,SH16_150,5.9,40,3,105,1200,7.135714286
SH16 Lincoln Rd to Whenuapai West WB,SH16 Lincoln Rd to Whenuapai West WB,01610013,SH16 Lincoln Rd Interchange WB,Mainline,WB,2,3600,1400,01660013,Any2018-scaled,C13,105,40,1.5,55,25,1.1,SH16_131,9.2,60,7.6,105,1200,4.857142857
SH16 Lincoln Rd to Great North Rd (Waterview) EB,SH16 Lincoln Rd to Great North Rd (Waterview) EB,01620013,SH16 Lincoln Rd Interchange EB,Mainline,EB,3,5400,1400,01640013,Any2018-scaled,C13,105,40,1.5,55,25,1.1,SH16_150,5.9,40,3,105,1200,7.135714286
SH16 Lincoln Rd On Ramp to Royal Rd Off Ramp WB,SH16 Lincoln Rd On Ramp to Royal Rd Off Ramp WB,01610014,SH16 Lincoln Rd On Ramp to Royal Rd Off Ramp WB,Mainline,WB,2,3800,1400,01660013,Website Mar-18,C13,105,40,1.5,55,25,1.1,SH16_131,9.2,60,7.6,105,1200,4.857142857
SH16 Royal Rd On Ramp to Lincoln Rd Off Ramp EB,SH16 Royal Rd On Ramp to Lincoln Rd Off Ramp EB,01620014,SH16 Royal Rd On Ramp to Lincoln Rd Off Ramp EB,Mainline,EB,2,4200,1400,01860012,Website Mar-19,C13,105,40,1.5,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Royal Rd to Hobsonville Rd WB,SH16 Royal Rd to Hobsonville Rd WB,01610016,SH16 Royal Rd to Hobsonville Rd WB,Mainline,WB,2,3600,1400,01660015,Any2018-scaled,C13,105,40,1.5,55,25,1.1,SH16_132,6.1,50,5.1,105,1200,4.405714286
SH18 Constellation Dr to Albany Hwy WB,SH18 Constellation Dr to Albany Hwy WB,01819001,SH18 West of Unsworth Dr WB,Mainline,WB,1,2400,1400,01860002,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_142,5.3,60,4.7,105,1917.391304,2.614285714
SH18 West of Paul Mathews Rd EB,SH18 West of Paul Mathews Rd EB,01820001,SH18 West of Paul Mathews Rd EB,Mainline,EB,2,3600,1400,01840002,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_113,3.644210982,NA,NA,NA,NA,NA
SH18 Albany Hwy to Squadron Dr WB,SH18 Albany Hwy to Squadron Dr WB,01810002,SH18 Albany Hwy Interchange WB,Mainline,WB,2,3600,1400,01860002,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_142,5.3,60,4.7,105,1917.391304,2.614285714
SH18 Albany Hwy to Constellation Dr EB,SH18 Albany Hwy to Constellation Dr EB,01820002,SH18 Albany Hwy Interchange EB,Mainline,EB,2,3600,1400,01840002,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_113,3.644210982,NA,NA,NA,NA,NA
SH18 Albany Hwy On Ramp to Greenhithe Rd Off Ramp WB,SH18 Albany Hwy On Ramp to Greenhithe Rd Off Ramp WB,01810003,SH18 Albany Hwy On Ramp to Greenhithe Rd Off Ramp WB,Mainline,WB,2,4000,1400,01860004,Any2018-scaled,C11,100,85,1.3,60,20,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Greenhithe Rd On Ramp to Albany Hwy Off Ramp EB,SH18 Greenhithe Rd On Ramp to Albany Hwy Off Ramp EB,01820003,SH18 Greenhithe Rd On Ramp to Albany Hwy Off Ramp EB,Mainline,EB,2,3800,1400,01840002,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_113,3.644210982,NA,NA,NA,NA,NA
SH18 Greenhithe Rd Off Ramp to Tauhinu Rd On Ramp WB,SH18 Greenhithe Rd Off Ramp to Tauhinu Rd On Ramp WB,01810005,SH18 Greenhithe Rd Off Ramp to Tauhinu Rd On Ramp WB,Mainline,WB,2,3600,1400,01860004,Any2018-scaled,C11,100,85,1.3,60,20,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Tauhinu Rd Off Ramp to Greenhithe Rd On Ramp EB,SH18 Tauhinu Rd Off Ramp to Greenhithe Rd On Ramp EB,01820005,SH18 Tauhinu Rd Off Ramp to Greenhithe Rd On Ramp EB,Mainline,EB,2,3800,1400,01840006,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_143,5.4,60,4.7,105,1917.391304,2.714285714
SH18 Upper Harbour Bridge EB,SH18 Upper Harbour Bridge EB,01820007,SH18 Upper Harbour Bridge EB,Mainline,EB,2,4000,1400,01840006,Any2018-scaled,C12,105,85,1.1,55,25,1.1,SH18_143,5.4,60,4.7,105,1917.391304,2.714285714
SH18 Upper Harbour Bridge WB,SH18 Upper Harbour Bridge WB,01810007,SH18 Upper Harbour Bridge WB,Mainline,WB,2,4200,1400,01860008,Any2018-scaled,C12,105,85,1.1,55,25,1.1,SH18_144,3.4,60,3.1,105,1200,1.628571429
SH18 Squadron Dr to Westgate WB,SH18 Squadron Dr to Westgate WB,01810009,SH18 Squadron Dr Off Ramp to Brigham Creek Rd Off Ramp WB,Mainline,WB,2,3600,1400,01860008,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH18_144,3.4,60,3.1,105,1200,1.628571429
SH18 Brigham Creek Rd On Ramp to Squadron Dr On Ramp EB,SH18 Brigham Creek Rd On Ramp to Squadron Dr On Ramp EB,01820009,SH18 Brigham Creek Rd On Ramp to Squadron Dr On Ramp EB,Mainline,EB,2,3600,1400,01840010,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH18_145,3.7,60,3.1,105,1200,1.928571429
SH18 Brigham Creek Rd Interchange WB,SH18 Brigham Creek Rd Interchange WB,01810010,SH18 Brigham Creek Rd Interchange WB,Mainline,WB,2,3600,1400,01860010,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH18_146,4.6,60,4.2,105,1200,2.2
SH18 Squadron Dr to Albany Hwy EB,SH18 Squadron Dr to Albany Hwy EB,01820010,SH18 Brigham Creek Rd Interchange EB,Mainline,EB,2,3600,1400,01840010,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH18_145,3.7,60,3.1,105,1200,1.928571429
SH18 Brigham Creek Rd On Ramp to Trig Rd Off Ramp WB,SH18 Brigham Creek Rd On Ramp to Trig Rd Off Ramp WB,01810011,SH18 Brigham Creek Rd On Ramp to Trig Rd Off Ramp WB,Mainline,WB,2,3600,1400,01860012,Website Mar-18,C12,105,85,1.1,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Trig Rd On Ramp to Brigham Creek Rd Off Ramp EB,SH18 Trig Rd On Ramp to Brigham Creek Rd Off Ramp EB,01820011,SH18 Trig Rd On Ramp to Brigham Creek Rd Off Ramp EB,Mainline,EB,2,3600,1400,01840010,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH18_145,3.7,60,3.1,105,1200,1.928571429
SH18 Trig Rd Off Ramp to Hobsonville Rd Off Ramp WB,SH18 Trig Rd Off Ramp to Hobsonville Rd Off Ramp WB,01810012,SH18 Trig Rd Off Ramp to Hobsonville Rd Off Ramp WB,Mainline,WB,2,3600,1400,01860013,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH18_147,5.132504553,NA,NA,NA,NA,NA
SH18 Hobsonville Rd On Ramp to Trig Rd On Ramp EB,SH18 Hobsonville Rd On Ramp to Trig Rd On Ramp EB,01820012,SH18 Hobsonville Rd On Ramp to Trig Rd On Ramp EB,Mainline,EB,2,3600,1400,01669017,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH16_163,4.7,80,3.9,105,1917.391304,1.296428571
SH18 Northwestern Off Ramp WB,SH18 Northwestern Off Ramp WB,01810014,SH18 Northwestern Off Ramp WB,Mainline,WB,2,3600,1400,01860013,Any2018-scaled,C12,105,85,1.1,55,25,1.1,SH18_147,5.132504553,NA,NA,NA,NA,NA
SH18 Westgate to Squadron Dr EB,SH18 Westgate to Squadron Dr EB,01820014,SH18 Northwestern On Ramp EB,Mainline,EB,2,3600,1400,01669017,Any2018-scaled,C13,105,40,1.5,55,25,1.1,SH16_163,4.7,80,3.9,105,1917.391304,1.296428571
SH20 Southern Link to SH1N Off Ramp SB,SH20 Southern Link to SH1N Off Ramp SB,02020000,SH20 Southern Link to SH1N Off Ramp SB,Mainline,SB,2,3600,1400,02040001,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_139,3.4,50,2.9,100,1200,2.34
SH20 Southern Off Ramp SB,SH20 Southern Off Ramp SB,02040000,SH20 Southern Off Ramp SB,Mainline,SB,1,1800,1400,02040001,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_139,3.4,50,2.9,100,1200,2.34
SH20 Southern Link to SH1N / Redoubt Rd On Ramp NB,SH20 Southern Link to SH1N / Redoubt Rd On Ramp NB,02010000,SH20 Southern Link to SH1N / Redoubt Rd On Ramp NB,Mainline,NB,2,3600,1400,01N60449,Any2018-scaled,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 Manukau/SH1 to Puhinui Rd NB,SH20 Manukau/SH1 to Puhinui Rd NB,02019000,SH20 SH1N / Redoubt Rd On Ramp to Lambie Dr Off Ramp NB,Mainline,NB,3,5400,1400,02060001,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_96,4.3,50,3.2,100,1800,3.24
SH20 Lambie Dr On Ramp to SH1N Off Ramp SB,SH20 Lambie Dr On Ramp to SH1N Off Ramp SB,02029000,SH20 Lambie Dr On Ramp to SH1N Off Ramp SB,Mainline,SB,3,5400,1400,02040001,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_139,3.4,50,2.9,100,1200,2.34
SH20 Lambie Dr Interchange NB,SH20 Lambie Dr Interchange NB,02010001,SH20 Lambie Dr Interchange NB,Mainline,NB,2,3600,1400,02060001,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_96,4.3,50,3.2,100,1800,3.24
SH20 Lambie Dr Interchange SB,SH20 Lambie Dr Interchange SB,02020001,SH20 Lambie Dr Interchange SB,Mainline,SB,2,3600,1400,02040001,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_139,3.4,50,2.9,100,1200,2.34
SH20 Lambie Dr On Ramp to Cavendish Dr Off Ramp NB,SH20 Lambie Dr On Ramp to Cavendish Dr Off Ramp NB,02010002,SH20 Lambie Dr On Ramp to Cavendish Dr Off Ramp NB,Mainline,NB,2,4200,1400,02060001,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_96,4.3,50,3.2,100,1800,3.24
SH20 Cavendish Dr On Ramp to Lambie Dr Off Ramp SB,SH20 Cavendish Dr On Ramp to Lambie Dr Off Ramp SB,02020002,SH20 Cavendish Dr On Ramp to Lambie Dr Off Ramp SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH20 Cavendish Dr Interchange NB,SH20 Cavendish Dr Interchange NB,02010003,SH20 Cavendish Dr Interchange NB,Mainline,NB,2,3600,1400,02060003,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_94,3.1,60,2.6,100,1200,1.54
SH20 Puhinui Rd On Ramp to Cavendish Dr On Ramp SB,SH20 Puhinui Rd On Ramp to Cavendish Dr On Ramp SB,02020003,SH20 Puhinui Rd On Ramp to Cavendish Dr On Ramp SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH20 Cavendish Dr On Ramp to Puhinui Rd On Ramp NB,SH20 Cavendish Dr On Ramp to Puhinui Rd On Ramp NB,02010004,SH20 Cavendish Dr On Ramp to Puhinui Rd On Ramp NB,Mainline,NB,2,4200,1400,02060003,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_94,3.1,60,2.6,100,1200,1.54
SH20 Puhinui Rd to Manukau/SH1 SB,SH20 Puhinui Rd to Manukau/SH1 SB,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH20 Puhinui Rd to Massey Rd NB,SH20 Puhinui Rd to Massey Rd NB,02010006,SH20 Puhinui Rd to Massey Rd NB,Mainline,NB,2,4400,1400,02060003,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_94,3.1,60,2.6,100,1200,1.54
SH20 Massey Rd to Puhinui Rd SB,SH20 Massey Rd to Puhinui Rd SB,02020006,SH20 Massey Rd to Puhinui Rd SB,Mainline,SB,2,4000,1400,02040007,Any2018-scaled,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 Massey Rd to Rimu Rd/Mahunga Dr NB,SH20 Massey Rd to Rimu Rd/Mahunga Dr NB,02010007,SH20 Massey Rd Interchange NB,Mainline,NB,2,3600,1400,02060007,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_85,5.3,60,3,105,1200,3.585714286
SH20 Massey Rd to Puhinui Rd SB,SH20 Massey Rd to Puhinui Rd SB,02020007,SH20 Massey Rd Interchange SB,Mainline,SB,2,3600,1400,02040007,Any2018-scaled,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 Massey Rd On Ramp to 20A Off Ramp NB,SH20 Massey Rd On Ramp to 20A Off Ramp NB,02010008,SH20 Massey Rd On Ramp to 20A Off Ramp NB,Mainline,NB,2,4000,1400,02060007,Continuous Year2014,C18,90,55,1.5,65,15,1.1,SH20_85,5.3,60,3,105,1200,3.585714286
SH20 20A Off Ramp to Massey Rd Off Ramp SB,SH20 20A Off Ramp to Massey Rd Off Ramp SB,02020008,SH20 20A Off Ramp to Massey Rd Off Ramp SB,Mainline,SB,2,3600,1400,02040011,Continuous Year2014,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 20A On Ramp to Coronation Rd Off Ramp NB,SH20 20A On Ramp to Coronation Rd Off Ramp NB,02010010,SH20 20A On Ramp to Coronation Rd Off Ramp NB,Mainline,NB,3,5700,1400,02060009,Continuous Year2014,C17,100,80,1.4,50,25,1.5,SH20_86,4.8,50,2.1,100,1200,4.5
SH20 Walmsley Rd On Ramp to 20A Off Ramp SB,SH20 Walmsley Rd On Ramp to 20A Off Ramp SB,02020010,SH20 Walmsley Rd On Ramp to 20A Off Ramp SB,Mainline,SB,2,5600,1400,02040011,Continuous Year2014,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20 Coronation Rd/Walmsley Rd Interchange SB,SH20 Coronation Rd/Walmsley Rd Interchange SB,02020011,SH20 Coronation Rd/Walmsley Rd Interchange SB,Mainline,SB,3,5400,1400,02040011,Website Year2014,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20 Rimu Rd/Mahunga Dr to Neilson St NB,SH20 Rimu Rd/Mahunga Dr to Neilson St NB,02010011,SH20 Coronation Rd/Walmsley Rd Interchange NB,Mainline,NB,3,5400,1400,02060011,Website Year2014,C17,100,80,1.4,50,25,1.5,SH20_87,3.3,50,1.8,100,1200,2.88
SH20 Coronation Rd On Ramp to Rimu Rd On Ramp NB,SH20 Coronation Rd On Ramp to Rimu Rd On Ramp NB,02010012,SH20 Coronation Rd On Ramp to Rimu Rd On Ramp NB,Mainline,NB,3,5400,1400,02060011,Any2018-scaled,C17,100,80,1.4,50,25,1.5,SH20_87,3.3,50,1.8,100,1200,2.88
SH20 Rimu Rd/Mahunga Dr to Massey Rd SB,SH20 Rimu Rd/Mahunga Dr to Massey Rd SB,02020012,SH20 Rimu Rd Off Ramp to Walmsley Rd Off Ramp SB,Mainline,SB,3,5700,1400,02040012,Any2018-scaled,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20 Rimu Rd On Ramp to Neilson St Off Ramp NB,SH20 Rimu Rd On Ramp to Neilson St Off Ramp NB,02010013,SH20 Rimu Rd On Ramp to Neilson St Off Ramp NB,Mainline,NB,4,7200,1400,02060011,Any2018-scaled,C17,100,80,1.4,50,25,1.5,SH20_87,3.3,50,1.8,100,1200,2.88
SH20 Neilson St On Ramp to Rimu Rd Off Ramp SB,SH20 Neilson St On Ramp to Rimu Rd Off Ramp SB,02020013,SH20 Neilson St On Ramp to Rimu Rd Off Ramp SB,Mainline,SB,4,7200,1400,02040014,Website Mar-19,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20 Neilson St to Hillsborough Rd NB,SH20 Neilson St to Hillsborough Rd NB,02010014,SH20 Neilson St Interchange NB,Mainline,NB,3,5700,1400,02060014,Any2018-scaled,C16,100,80,1.5,50,25,1.2,SH20_90,1,60,1,105,1400,0.428571429
SH20 Neilson St to Rimu Rd/Mahunga Dr SB,SH20 Neilson St to Rimu Rd/Mahunga Dr SB,02020014,SH20 Neilson St Interchange SB,Mainline,SB,3,5400,1400,02040014,Any2018-scaled,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH20 Neilson St On Ramp to Queenstown Rd Off Ramp NB,SH20 Neilson St On Ramp to Queenstown Rd Off Ramp NB,02010015,SH20 Neilson St On Ramp to Queenstown Rd Off Ramp NB,Mainline,NB,3,6600,1400,02060014,Any2018-scaled,C16,100,80,1.5,50,25,1.2,SH20_90,1,60,1,105,1400,0.428571429
SH20 Queenstown Rd On Ramp to Neilson St Off Ramp SB,SH20 Queenstown Rd On Ramp to Neilson St Off Ramp SB,02020015,SH20 Queenstown Rd On Ramp to Neilson St Off Ramp SB,Mainline,SB,4,7200,1400,02040016,Website Mar-18,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH20 Queenstown Rd Off Ramp to Hillsborough Rd Off Ramp NB,SH20 Queenstown Rd Off Ramp to Hillsborough Rd Off Ramp NB,02019015,SH20 Queenstown Rd Off Ramp to Hillsborough Rd Off Ramp NB,Mainline,NB,3,5400,1400,02060015,Any2018-scaled,C16,100,80,1.5,50,25,1.2,SH20_92,2.6,50,1.7,100,1200,2.1
