SiteBlock,SiteBlock2,SiteIDLookUp,Description,RampMain,Direction,LaneNumbs,TotalCapacity,TMPCapacity,RampReroute,DataSource,Cluster,FreeSpeedM,ScM,NM,FreeSpeedD,ScD,ND,DetourPlan,DetourDistance,DetourSpeed,Distance,Speed ,DetourCap,DetourDelay
SH16_Eastbound_between_Te_Atatu_Road_and_Great_North_Road_151,SH16 EB TeAtatuRoad to GreatNorthRoad ,01620010,SH16 Te Atatu Peninsula On Ramp to Patiki Rd Off Ramp EB,Mainline,EB,4,8800,1400,01640011,Website Mar-19,C14,90,35,1.5,50,30,1.5,SH16_151,14.8,40,6.2,105,1200,18.65714286
SH16_Eastbound_between_Patiki_Road_and_Rosebank_Road_152,SH16 EB PatikiRoad to RosebankRoad ,01629008,SH16 Rosebank Rd On Ramp to Great Nth Rd Off Ramp EB,Mainline,EB,4,7200,1400,01640010,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_152,2.5,40,1.9,105,1200,2.664285714
SH16_Eastbound_between_Patiki_Road_and_Great_North_Road_153,SH16 EB PatikiRoad to GreatNorthRoad ,01629008,SH16 Rosebank Rd On Ramp to Great Nth Rd Off Ramp EB,Mainline,EB,4,7200,1400,01640010,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_152,2.5,40,1.9,105,1200,2.664285714
SH16_Eastbound_between_Great_North_Road_and_Western_Springs_154,SH16 EB GreatNorthRoad to WesternSprings ,01620007,SH16 Great Nth Rd On Ramp to St Lukes Rd Off Ramp EB,Mainline,EB,4,7200,1400,01640008,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_154,4,40,3.9,105,1200,3.771428571
"SH16_Eastbound_between_Western_Springs_and_SH1_SB,_NB_and_SH16_Port_155",SH16 EB WesternSprings to SH1SB NB to SH 16Port,01620005,SH16 St Lukes Rd On Ramp to Newton Rd Off Ramp EB,Mainline,EB,4,7600,1400,01640006,Website Mar-18,C15,70,25,1.5,40,25,1.5,SH16_155,8.2,40,6,100,1200,8.7
SH16_Eastbound_between_SH16_to_SH1_SB_and_Khyber_Pass_Road_156,SH16 EB SH16 to SH1 SB KhyberPassRoad ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Johnstones_Hill_Tunnel_and_Silverdale_157,SH1 SB JohnstonesHillTunnel to Silverdale ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Northbound_between_Silverdale_Off-Ramp_and_Waiwera_(Johnstone_Hill_Tunnel)_158,SH1 NB SilverdaleOffRamp to Waiwera(JohnstoneHillTunnel) ,01N20391,SH1 Silverdale On Ramp to Orewa Off Ramp NB,Mainline,NB,2,3600,1400,01N40398,Any2018-scaled,C1,100,65,1.5,60,25,1.2,SH1_61,17.7,60,13.2,105,1200,10.15714286
SH1_Southbound_between_Grand_Drive_and_Silverdale_160,SH1 SB GrDrive to Silverdale ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_SH16_EB_Link_and_SH18_EB_162,SH16 EB SH16EBLink to SH 18EB,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Westbound_between_Hobsonville_Road_and_Brigham_Creek_Road_Roundabout_163,SH16 WB HobsonvilleRoad to BrighamCreekRoadRoundabout ,01820012,SH18 Hobsonville Rd On Ramp to Trig Rd On Ramp EB,Mainline,EB,2,3600,1400,01669017,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH16_163,4.7,80,3.9,105,1917.391304,1.296428571
SH18_Westbound_between_Westbound_Link_and_SH16_Eastbound_165,SH18 WB WestboundLink to SH 16Eastbound,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH18_Westbound_between_Albany_Highway_and_Brigham_Creek_Road_166,SH18 WB AlbanyHighway to BrighamCreekRoad ,01819001,SH18 West of Unsworth Dr WB,Mainline,WB,1,2400,1400,01860002,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_142,5.3,60,4.7,105,1917.391304,2.614285714
SH18_Eastbound_between_Brigham_Creek_Road_and_Albany_Highway_167,SH18 EB BrighamCreekRoad to AlbanyHighway ,01820009,SH18 Brigham Creek Rd On Ramp to Squadron Dr On Ramp EB,Mainline,EB,2,3600,1400,01840010,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH18_145,3.7,60,3.1,105,1200,1.928571429
SH20_Northbound_between_Link_To_SH20A_Westbound_and_168,SH20 NB Link to SH20A Westbound ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Northbound_and_SH16_Westbound_between_Market_Road_and_Grafton_Road_170,SH1 NB SH16 WB MarketRoad to GraftonRoad ,01N20430,SH1 Gillies Ave On Ramp to Khyber Pass Off Ramp NB,Mainline,NB,5,9000,1400,01N40432,Website Mar-18,C6,85,65,1.1,60,20,1.1,SH1_45,2.6,40,2.3,105,1200,2.585714286
SH1_Northbound_between_Symonds_Street_and_SH16_Newton_Rd_On-Ramp_171,SH1 NB SymondsStreet to SH16 NewtonRd OnRamp ,01N20429,SH1 Symonds/Wellesley/Port Off Ramp to SH16 Off Ramp NB,Mainline,NB,4,7200,1400,01N45429,Continuous Mar-19,C5,95,70,1.1,55,15,1.1,SH1_48,3.8,70,1.9,105,1200,2.171428571
SH16_Westbound_between_Royal_Road_and_Brigham_Creek_Road_Roundabout_173,SH16 WB RoyalRoad to BrighamCreekRoadRoundabout ,01610016,SH16 Royal Rd to Hobsonville Rd WB,Mainline,WB,2,3600,1400,01660015,Any2018-scaled,C13,105,40,1.5,55,25,1.1,SH16_132,6.1,50,5.1,105,1200,4.405714286
SH16_Westbound_between_SH16_WB_To_SH18_EB_Link_and_SH18_EB_200,SH16 WB SH16WB to SH18EBLink SH 18EB,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Westbound_between_Hobsonville_Road_Off-ramp_and_201,SH16 WB HobsonvilleRoad Offramp ,01820012,SH18 Hobsonville Rd On Ramp to Trig Rd On Ramp EB,Mainline,EB,2,3600,1400,01669017,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH16_163,4.7,80,3.9,105,1917.391304,1.296428571
SH16_Westbound_between_Royal_Road_Off-ramp_and_202,SH16 WB RoyalRoad Offramp ,01610016,SH16 Royal Rd to Hobsonville Rd WB,Mainline,WB,2,3600,1400,01660015,Any2018-scaled,C13,105,40,1.5,55,25,1.1,SH16_132,6.1,50,5.1,105,1200,4.405714286
SH16_Eastbound_between_Lincoln_Road_Off-ramp_and_203,SH16 EB LincolnRoad Offramp ,01620012,SH16 Lincoln Rd Off Ramp to Te Atatu Rd On Ramp EB,Mainline,EB,3,5400,1400,01640013,Website Mar-19,C13,105,40,1.5,55,25,1.1,SH16_150,5.9,40,3,105,1200,7.135714286
SH16_Westbound_between_Lincoln_Road_Off-ramp_and_204,SH16 WB LincolnRoad Offramp ,01610013,SH16 Lincoln Rd Interchange WB,Mainline,WB,2,3600,1400,01660013,Any2018-scaled,C13,105,40,1.5,55,25,1.1,SH16_131,9.2,60,7.6,105,1200,4.857142857
SH16_Eastbound_between_Te-Atatu_Road_Off-ramp_and_205,SH16 EB TeAtatuRoad Offramp ,01620010,SH16 Te Atatu Peninsula On Ramp to Patiki Rd Off Ramp EB,Mainline,EB,4,8800,1400,01640011,Website Mar-19,C14,90,35,1.5,50,30,1.5,SH16_151,14.8,40,6.2,105,1200,18.65714286
SH16_Westbound_between_Te_Atatu_Road_Off-Ramp_and_206,SH16 WB TeAtatuRoad OffRamp ,01610011,SH16 Te Atatu Rd Interchange WB,Mainline,WB,3,5400,1400,01660011,Any2018-scaled,C14,90,35,1.5,50,30,1.5,SH16_130,4.8,40,2.7,105,1200,5.657142857
