Site Block,SiteID LookUp,Description,Ramp/Mainline,SH,RS,RP,Direction,Number of Lane(s),Normal Total Capacity,Mon_Thu,Fri,Sat,Sun,Seasonal,Normal Capacity per Lane,TMP Capacity,Ramp reroute,Detour Plan Ref,DataSource
SH1_Northbound_between_Esmonde_Road-Akoranga_Drive_and_Northcote_Road_55,01N29419,SH1 Esmonde/Akoranga On Ramp to Northcote Rd Off Ramp to NB,Mainline,1N,414,5.6,NB,4,7200,5642,5370.4,4696.8,4509.6,0,1800,1400,01N40420,SH1_55,Website Mar-19
SH1_Northbound_between_Northcote_Road_and_Tristram_Avenue_56,01N20418,SH1 Northcote Rd On Ramp to Tristram Ave Off Ramp NB,Mainline,1N,414,3.9,NB,4,7200,5616.955204,6999.498016,5123.471736,3992.33549,0,1800,1400,01N40419,SH1_56,Any2018-scaled
SH1_Northbound_between_Tristram_Avenue_and_Upper_Harbour_Highway_57,01N20415,SH1 Tristram Ave On Ramp to Upper Harbour Hwy Off Ramp NB,Mainline,1N,414,1.62,NB,3,5400,5005.86042,5300.08378,5199.8189,4161.422012,0,1800,1400,01N40417,SH1_57,Any2018-scaled
SH1_Northbound_between_Upper_Harbour_Highway_and_Greville_Road_58,01N20413,SH1 Upper Harbour Hwy On Ramp to Greville Rd Off Ramp NB,Mainline,1N,398,14.84,NB,3,6000,5094.927796,5767.367292,5755.626584,4605.276716,0,2000,1400,01N40414,SH1_58,Any2018-scaled
SH1_Northbound_between_Greville_Road_and_Oteha_Valley_Road_59,01N29411,SH1 Albany Bus Station Off Ramp to Greville Rd On Ramp NB,Mainline,1N,398,13.2,NB,3,5400,4077.36714,4345.14912,3630.83771,2922.857452,0,1800,1400,01N40412,SH1_59,Any2018-scaled
SH1_Northbound_between_Oteha_Valley_Road_and_Silverdale_60,01N20400,SH1 Silverdale to Dairy Flat SC On Ramp NB,Mainline,1N,398,2.9,NB,2,3600,3325.271315,3541.299908,3069.002942,2428.2756,0,1800,1400,01N40410,SH1_60,Any2018-scaled
SH1_Northbound_between_Silverdale_Off-Ramp_and_Johnstones_Hill_Tunnel_61,01N20391,SH1 Silverdale On Ramp to Orewa Off Ramp NB,Mainline,1N,373,18.44,NB,2,3600,1547.854632,1895.471684,1609.615879,1197.135368,0,1800,1400,01N40398,SH1_61,Any2018-scaled
SH1_Southbound_between_Grand_Drive_and_Silverdale_62,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Southbound_between_Silverdale_Off-Ramp_and_Oteha_Valley_Road_63,01N10398,SH1 Silverdale Interchange SB,Mainline,1N,398,0.13,SB,2,3600,1704,1597.6,1311.2,1625,0,1800,1400,01N60398,SH1_63,Continuous Mar-19
SH1_Southbound_between_Oteha_Valley_Road_and_Greville_Road_64,01N10410,SH1 Oteha Valley Rd Interchange SB,Mainline,1N,398,11.9,SB,2,3600,2623.895728,2611.537879,2281.052436,2139.547354,0,1800,1400,01N60410,SH1_64,Any2018-scaled
SH1_Southbound_between_Greville_Road_and_Upper_Harbour_Highway_65,01N10412,SH1 Greville Rd Interchange SB,Mainline,1N,398,14.07,SB,2,3600,2669.361627,2331.144769,2985.941561,2778.063812,0,1800,1400,01N60412,SH1_65,Any2018-scaled
SH1_Southbound_between_Upper_Harbour_Highway_and_Tristram_Avenue_66,01N10414,SH1 Upper Harbour Hwy Interchange SB,Mainline,1N,414,0.68,SB,2,3600,3252.5,3290.4,2900,2878,0,1800,1400,01N60414,SH1_66,Continuous Mar-19
SH1_Southbound_between_Tristram_Avenue_and_Northcote_Road_67,01N10417,SH1 Tristram Ave Interchange SB,Mainline,1N,414,3.03,SB,2,4000,3879,3916.8,3308.8,3359,0,2000,1400,01N60417,SH1_67,Continuous Mar-19
SH1_Southbound_between_Northcote_Road_and_Esmond_Road_68,01N10419,SH1 Northcote Rd Interchange SB,Mainline,1N,414,5.01,SB,3,5400,4837.25,4788.8,3829.6,3734,0,1800,1400,01N60419,SH1_68,Continuous Mar-19
SH1_Southbound_between_Northcote_Road_and_Onewa_Road_69,01N10419,SH1 Northcote Rd Interchange SB,Mainline,1N,414,5.01,SB,3,5400,4837.25,4788.8,3829.6,3734,0,1800,1400,01N60419,SH1_68,Continuous Mar-19
SH1_Southbound_between_Shelly_Beach_Road_and_Hobson_Street_70,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Southbound_between_Firth_Street_and_Victoria_Street_71,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Northbound_between_Victoria_Street_and_Firth_Street_72,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Southbound_between_Victoria_Street_and_Jesmond_Road_73,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Northbound_between_Jesmond_Road_and_Victoria_Street_74,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Northbound_between_Blackbridge_Road_and_SH1_Interchange_75,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Southbound_between_SH1_Interchange_and_Blackbridge_Road_76,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Southbound_between_Blackbridge_Road_and_Glenbrook_Road_77,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Northbound_between_Glenbrook_Road_and_Blackbridge_Road_78,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Northbound_between_Heights_Road_and_Glenbrook_Road_79,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Southbound_between_Glenbrook_Road_and_Heights_Road_80,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Southbound_between_Heights_Road_and_Kayes_Road_81,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH22_Northbound_between_Kayes_Road_and_Heights_Road_82,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Northbound_between_Khyber_Pass_Road_and_Wellington_Street_83,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20_Northbound_between_Massey_Road_and_SH20A_Interchange_85,02010007,SH20 Massey Rd Interchange NB,Mainline,20,0,7.47,NB,2,3600,2954.235194,3162.585555,2552.957856,1951.373842,0,1800,1400,02060007,SH20_85,Any2018-scaled
SH20_Northbound_between_SH20A_Interchange_and_Walmsley_Road_86,02010010,SH20 20A On Ramp to Coronation Rd Off Ramp NB,Mainline,20,10,0.24,NB,3,5700,5004.9758,5620.274332,4417.73538,3581.890396,0,1900,1400,02060009,SH20_86,Continuous Year2014
SH20_Northbound_between_Coronation_Road_and_Rimu_Road_87,02010011,SH20 Coronation Rd/Walmsley Rd Interchange NB,Mainline,20,10,0.76,NB,3,5400,4721.05862,5347.189396,4043.668748,3306.806059,0,1800,1400,02060011,SH20_87,Website Year2014
SH20_Northbound_between_Coronation_Road_and_Neilson_Street_89,02010011,SH20 Coronation Rd/Walmsley Rd Interchange NB,Mainline,20,10,0.76,NB,3,5400,4721.05862,5347.189396,4043.668748,3306.806059,0,1800,1400,02060011,SH20_87,Website Year2014
SH20_Northbound_between_Neilson_Street_Off-Ramp_and_Neilson_Street_On-Ramp_90,02010014,SH20 Neilson St Interchange NB,Mainline,20,10,3.6,NB,3,5700,5402.687532,5462.36012,4427.300892,3655.200962,0,1900,1400,02060014,SH20_90,Any2018-scaled
SH20_Northbound_between_Neilson_Street_and_Hillsborough_Road_91,02010014,SH20 Neilson St Interchange NB,Mainline,20,10,3.6,NB,3,5700,5402.687532,5462.36012,4427.300892,3655.200962,0,1900,1400,02060014,SH20_90,Any2018-scaled
SH20_Northbound_between_Queenstown_Road_and_Hillsborough_Road_92,02019015,SH20 Queenstown Rd Off Ramp to Hillsborough Rd Off Ramp NB,Mainline,20,10,5.15,NB,3,5400,5244.26562,4991.319952,4891.962408,3791.547662,0,1800,1400,02060015,SH20_92,Any2018-scaled
SH20_Southbound_between_Puhinui_Road_and_Cavendish_Drive_93,02020002,SH20 Cavendish Dr On Ramp to Lambie Dr Off Ramp SB,Mainline,20,0,1.67,SB,2,3600,3228.544798,3587.802526,3578.672774,2642.211774,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20_Northbound_between_Cavendish_Drive_and_Puhinui_Road_94,02010003,SH20 Cavendish Dr Interchange NB,Mainline,20,0,3.1,NB,2,3600,2593.945406,3149.595605,2512.423712,1952.144416,0,1800,1400,02060003,SH20_94,Any2018-scaled
SH20_Southbound_between_Cavendish_Drive_and_Lambie_Drive_95,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20_Northbound_between_Lambie_Drive_and_Cavendish_Drive_96,02019000,SH20 SH1N / Redoubt Rd On Ramp to Lambie Dr Off Ramp NB,Mainline,20,0,0.4,NB,3,5400,3547.330558,3928.373827,3169.304516,2492.642523,0,1800,1400,02060001,SH20_96,Any2018-scaled
SH20_Northbound_between_Great_South_Road_and_Lambie_Drive_97,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20_Southbound_between_Link_to_SH20A_and_98,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20A_Eastbound_between_Link_to_SH20_Northbound_and_99,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20A_Eastbound_between_Kirkbride_Road_and_Bader_Drive_101,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20A_Eastbound_between_Montgomerie_Road_and_Kirkbride_Road_102,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20A_Westbound_between_Kirkbride_Road_and_Montgomerie_Road_103,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20A_Westbound_between_Kirkbride_Road_and_Verissimo_Drive_104,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20A_Eastbound_between_Verissimo_Drive_and_Kirkbride_Road_105,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20_Southbound_between_To_SH20A_Airport_and_Via_SH20B_Puhinui_Road_106,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20A_Eastbound_between_Airport_and_SH20_Interchange_107,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20B_Westbound_between_SH20_Interchange_and_Orrs_Road_108,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20B_Eastbound_between_Orrs_Road_and_SH20_Interchange_109,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH18_Westbound_between_Constellation_Drive_and_Caribbean_Drive_-_SH18_110,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH18_Eastbound_between_SH18_-_Caribbean_Drive_and_Constellation_Drive_111,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH18_Westbound_between_Carribean_Drive_and_Albany_Highway_112,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH18_Eastbound_between_Albany_Highway_and_Caribbean_Drive_113,01820001,SH18 West of Paul Mathews Rd EB,Mainline,18,0,1.65,EB,2,3600,1943.852563,2254.767372,1947.357887,1504.462776,0,1800,1400,01840002,SH18_113,Any2018-scaled
SH18_Westbound_between_Paul_Matthews_Road_and_Albany_Highway_114,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH18_Eastbound_between_Albany_Highway_and_Paul_Matthews_Road_115,01820001,SH18 West of Paul Mathews Rd EB,Mainline,18,0,1.65,EB,2,3600,1943.852563,2254.767372,1947.357887,1504.462776,0,1800,1400,01840002,SH18_113,Any2018-scaled
SH16_Eastbound_between_Wellesley_Street_and_Grafton_Road_116,01620001,SH16 Grafton Rd On Ramp to Alten Rd EB,Mainline,16,0,1.3,EB,3,5400,2104.75,2158.8,1464.2,1308.8,0,1800,1400,01640002,SH16_116,Website Mar-19
SH16_Eastbound_between_Wellesley_Street_and_Quay_Street_-_Tamaki_Drive_117,01620001,SH16 Grafton Rd On Ramp to Alten Rd EB,Mainline,16,0,1.3,EB,3,5400,2104.75,2158.8,1464.2,1308.8,0,1800,1400,01640002,SH16_116,Website Mar-19
SH16_Eastbound_between_Beach_Road_and_Quay_Street_-_Tamaki_Drive_118,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Westbound_between_Tamaki_Drive_and_Beach_Road_119,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Westbound_between_Parnell_Rise_and_Wellesley_Street_120,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Westbound_between_Port_and_SH16_WB_Link_121,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Westbound_between_Port_and_SH1_SB_Link_122,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Westbound_between_Port_and_SH1_SB_Link_122,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Westbound_between_Port_WB_Link_and_SH16_WB_Link_and_SH1_NB_Link_123,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Westbound_between_Port_WB_Link_and_SH16_WB_Link_and_SH1_NB_Link_123,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Westbound_between_Hobson_Street_and_Newton_Road_124,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Westbound_between_Hobson_Street_and_St_Lukes_Road_125,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Westbound_between_St_Lukes_Road_and_Great_North_Road_126,01610005,SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB,Mainline,16,0,5,WB,4,7200,7154.974356,6330.885356,6122.953596,4947.480544,0,1800,1400,01660006,SH16_126,Website Year2014
SH16_Westbound_between_Great_North_Road_and_Patiki_Road_127,01619008,SH16 Great Nth Rd On Ramp to Rosebank Rd Off Ramp WB,Mainline,16,0,9.2,WB,5,9000,4599.75,4420.8,3061.6,3024,0,1800,1400,01660008,SH16_127,Website Mar-19
SH16_Westbound_between_Rosebank_Road_and_Patiki_Road_128,01610009,SH16 Rosebank Rd Off Ramp to Patiki Rd On Ramp WB,Mainline,16,7,2.57,WB,4,7200,5462.804984,5614.858568,4982.381512,3902.418446,0,1800,1400,01660009,SH16_128,Any2018-scaled
SH16_Westbound_between_Great_North_Road_and_Te_Atatu_Road_129,01619008,SH16 Great Nth Rd On Ramp to Rosebank Rd Off Ramp WB,Mainline,16,0,9.2,WB,5,9000,4599.75,4420.8,3061.6,3024,0,1800,1400,01660008,SH16_127,Website Mar-19
SH16_Westbound_between_Te_Atatu_Road_and_Lincoln_Road_130,01610011,SH16 Te Atatu Rd Interchange WB,Mainline,16,7,4.02,WB,3,5400,4037.529748,3761.143789,3677.585438,2851.315961,0,1800,1400,01660011,SH16_130,Any2018-scaled
SH16_Westbound_between_Lincoln_Road_and_Brigham_Creek_Road_Roundabout_131,01610013,SH16 Lincoln Rd Interchange WB,Mainline,16,7,5.86,WB,2,3600,2690.819961,2633.643589,2905.369882,2411.321663,0,1800,1400,01660013,SH16_131,Any2018-scaled
SH16_Westbound_between_Royal_Road_and_Brigham_Creek_Road_Roundabout_132,01610016,SH16 Royal Rd to Hobsonville Rd WB,Mainline,16,7,9.18,WB,2,3600,3097.431414,3457.054522,3255.339308,2643.284042,0,1800,1400,01660015,SH16_132,Any2018-scaled
SH18_Westbound_between_SH18_Westbound_Link_and_SH16_Eastbound_133,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Eastbound_between_Brigham_Creek_Road_Roundabout_and_Hobsonville_Road_134,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH20_Southbound_between_Dominion_Road_and_Hillsborough_Road_135,02020017,SH20 Dominion Rd On Ramp to Hillsborough Rd Off Ramp SB,Mainline,20,10,7.09,SB,3,5400,4916.210004,5335.15274,4714.6821,3606.891644,0,1800,1400,02040018,SH20_135,Any2018-scaled
SH20_Northbound_between_Hillsborough_Road_and_Dominion_Road_136,02010016,SH20 Hillsborough Rd Interchange NB,Mainline,20,10,6.1,NB,3,5400,4272.518656,4033.235084,4058.456052,3176.374432,0,1800,1400,02060016,SH20_136,Any2018-scaled
SH20_Northbound_between_Dominion_Road_and_Maioro_Street_137,02010018,SH20 Dominion Rd Interchange NB,Mainline,20,10,7.9,NB,3,5400,4090.11904,4655.738464,3889.894079,2985.48914,0,1800,1400,02060018,SH20_137,Any2018-scaled
SH20_Southbound_between_Maioro_Street_and_Dominion_Road_138,02020019,SH20 Maioro St On Ramp to Dominion Rd Off Ramp SB,Mainline,20,10,8.72,SB,3,5400,4390.039404,4981.485692,4332.87044,3268.077372,0,1800,1400,02040020,SH20_138,Any2018-scaled
SH20_Southbound_between_Lambie_Drive_and_SH1_Link_139,02020000,SH20 Southern Link to SH1N Off Ramp SB,Mainline,20,0,0.01,SB,2,3600,1885.885863,1978.645602,2136.192857,1724.197777,0,1800,1400,02040001,SH20_139,Any2018-scaled
SH20_Southbound_between_Lambie_Drive_and_SH20-SH1_Southbound_Link_140,02020000,SH20 Southern Link to SH1N Off Ramp SB,Mainline,20,0,0.01,SB,2,3600,1885.885863,1978.645602,2136.192857,1724.197777,0,1800,1400,02040001,SH20_139,Any2018-scaled
SH18_Westbound_between_Albany_Highway_and_Tauhinu_Road_142,01819001,SH18 West of Unsworth Dr WB,Mainline,18,0,1.65,WB,1,2400,2104.851189,2374.67277,1771.125024,1323.742648,0,2400,1400,01860002,SH18_142,Any2018-scaled
SH18_Eastbound_between_Tauhinu_Road_and_Albany_Highway_143,01820005,SH18 Tauhinu Rd Off Ramp to Greenhithe Rd On Ramp EB,Mainline,18,0,4.6,EB,2,3800,2937.729495,3647.555083,1130.865536,793.9074344,0,1900,1400,01840006,SH18_143,Any2018-scaled
SH18_Westbound_between_Squadron_Drive_and_Brigham_Creek_Road_144,01810007,SH18 Upper Harbour Bridge WB,Mainline,18,7,0.78,WB,2,4200,3708.881098,4169.156124,2693.412309,1838.525965,0,2100,1400,01860008,SH18_144,Any2018-scaled
SH18_Eastbound_between_Brigham_Creek_Road_and_Squadron_Drive_145,01820009,SH18 Brigham Creek Rd On Ramp to Squadron Dr On Ramp EB,Mainline,18,7,2.2,EB,2,3600,3441.15,2845.6,1580,1493.333333,0,1800,1400,01840010,SH18_145,Website Mar-18
SH18_Westbound_between_Brigham_Creek_Road_and_SH16_EB_Link_Hobsonville_Road_146,01810010,SH18 Brigham Creek Rd Interchange WB,Mainline,18,7,3.5,WB,2,3600,2699.333333,2300,1372,1224,0,1800,1400,01860010,SH18_146,Website Mar-18
SH18_Westbound_between_Westgate_Off-ramp_and_Brigham_Creek_Road_147,01810012,SH18 Trig Rd Off Ramp to Hobsonville Rd Off Ramp WB,Mainline,18,7,5.3,WB,2,3600,2792.45,2341.6,1526.4,1337.333333,0,1800,1400,01860013,SH18_147,Website Mar-18
SH16_Eastbound_between_Hobsonville_Road_and_Royal_Road_148,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Eastbound_between_Hobsonville_Road_and_Royal_Road_148,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Eastbound_between_Hobsonville_Road_and_Lincoln_Road_149,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH16_Eastbound_between_Lincoln_Road_and_Te_Atatu_Road_150,01620012,SH16 Lincoln Rd Off Ramp to Te Atatu Rd On Ramp EB,Mainline,16,7,5.2,EB,3,5400,4632.75,4953,3556.8,3321.066667,0,1800,1400,01640013,SH16_150,Website Mar-19
SH16_Eastbound_between_Te_Atatu_Road_and_Great_North_Road_151,01620010,SH16 Te Atatu Peninsula On Ramp to Patiki Rd Off Ramp EB,Mainline,16,7,3.2,EB,4,8800,7148.088992,8524.931384,4454.111612,3607.430757,0,2200,1400,01640011,SH16_151,Website Mar-19
SH16_Eastbound_between_Patiki_Road_and_Rosebank_Road_152,01629008,SH16 Rosebank Rd On Ramp to Great Nth Rd Off Ramp EB,Mainline,16,0,9.2,EB,4,7200,5174.5,5241.6,3002.4,2935.2,0,1800,1400,01640010,SH16_152,Website Mar-19
SH16_Eastbound_between_Patiki_Road_and_Great_North_Road_153,01629008,SH16 Rosebank Rd On Ramp to Great Nth Rd Off Ramp EB,Mainline,16,0,9.2,EB,4,7200,5174.5,5241.6,3002.4,2935.2,0,1800,1400,01640010,SH16_152,Website Mar-19
SH16_Eastbound_between_Great_North_Road_and_Western_Springs_154,01620007,SH16 Great Nth Rd On Ramp to St Lukes Rd Off Ramp EB,Mainline,16,0,7,EB,4,7200,6056.5,6104,3606.4,3440,0,1800,1400,01640008,SH16_154,Website Mar-19
"SH16_Eastbound_between_Western_Springs_and_SH1_SB,_NB_and_SH16_Port_155",01620005,SH16 St Lukes Rd On Ramp to Newton Rd Off Ramp EB,Mainline,16,0,5,EB,4,7600,7341,6283.2,5233.6,5041.333332,0,1900,1400,01640006,SH16_155,Website Mar-18
SH16_Eastbound_between_SH16_to_SH1_SB_and_Khyber_Pass_Road_156,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Southbound_between_Johnstones_Hill_Tunnel_and_Silverdale_157,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Northbound_between_Silverdale_Off-Ramp_and_Waiwera_(Johnstone_Hill_Tunnel)_158,01N20391,SH1 Silverdale On Ramp to Orewa Off Ramp NB,Mainline,1N,373,18.44,NB,2,3600,1547.854632,1895.471684,1609.615879,1197.135368,0,1800,1400,01N40398,SH1_61,Any2018-scaled
SH1_Southbound_between_Grand_Drive_and_Silverdale_160,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
