Site Block,SiteID LookUp,Description,Ramp/Mainline,SH,RS,RP,Direction,Number of Lane(s),Normal Total Capacity,Mon_Thu,Fri,Sat,Sun,Seasonal,Normal Capacity per Lane,TMP Capacity,Ramp reroute,Detour Plan Ref,DataSource
SH1 Takanini Off Ramp SB,01N60454,SH1 Takanini Off Ramp SB,Ramp,1N,448,5.45,SB,1,1201.75,1201.75,1123,1136.8,969.8,0,1201.75,1400,,#N/A,Website unavailable
SH1 Takanini Off Ramp NB,01N40454,SH1 Takanini Off Ramp NB,Ramp,1N,448,5.89,NB,1,744,711.859768,646.1857612,661.1782664,550.5906412,744,744,1400,,#N/A,Any2018-scaled
SH1 Papakura Off Ramp SB,01N60458,SH1 Papakura Off Ramp SB,Ramp,1N,448,9.78,SB,1,1082,1073.500793,852.2561468,1022.782731,789.7310268,1082,1082,1400,,#N/A,Any2018-scaled
SH1 Papakura Off Ramp NB,01N40458,SH1 Papakura Off Ramp NB,Ramp,1N,448,10.31,NB,1,453.259682,320.6470035,363.3325416,453.259682,301.5570207,0,453.259682,1400,,#N/A,Any2018-scaled
SH1 Drury Off Ramp NB,01N40462,SH1 Drury Off Ramp NB,Ramp,1N,461,0.33,NB,1,557.2242632,519.9014772,463.6328064,379.4526611,557.2242632,0,557.2242632,1400,,#N/A,Any2018-scaled
SH1 Drury Off Ramp SB,01N60462,SH1 Drury Off Ramp SB,Ramp,1N,448,13.88,SB,1,1143.05598,1143.05598,1092.951451,1076.805176,747.9121016,0,1143.05598,1400,,#N/A,Any2018-scaled
SH1 Ramarama Off Ramp SB,01N60465,SH1 Ramarama Off Ramp SB,Ramp,1N,461,4.38,SB,1,283.3510207,234.7013186,283.3510207,242.6763656,161.8106096,0,283.3510207,1400,,#N/A,Any2018-scaled
SH1 Ramarama Off Ramp NB,01N40465,SH1 Ramarama Off Ramp NB,Ramp,1N,461,4.88,NB,1,232.6797591,232.6797591,198.4789229,80.65797084,84.40928744,0,232.6797591,1400,,#N/A,Any2018-scaled
SH1 Mill Rd Off Ramp SB,01N60471,SH1 Mill Rd Off Ramp SB,Ramp,1N,461,10.23,SB,1,709.1822024,601.2712856,709.1822024,651.7790008,498.0017896,668,709.1822024,1400,,#N/A,Any2018-scaled
SH1 Mill Rd Off Ramp NB,01N40471,SH1 Mill Rd Off Ramp NB,Ramp,1N,461,10.9,NB,1,630.9907272,453.082842,548.0438128,630.9907272,478.067422,0,630.9907272,1400,,#N/A,Any2018-scaled
SH1 Beaver Rd Off Ramp SB,01N60473,SH1 Beaver Rd Off Ramp SB,Ramp,1N,461,12.13,SB,1,1400,8.839046872,0,18.71012637,22.11207394,0,1400,1400,,#N/A,Any2018-scaled
SH1 Beaver Rd Off Ramp NB,01N40473,SH1 Beaver Rd Off Ramp NB,Ramp,1N,461,12.5,NB,1,1400,42.06504824,54.99214488,41.36428736,49.23077212,0,1400,1400,,#N/A,Any2018-scaled
SH1 Nikau Rd Off Ramp SB,01N60475,SH1 Nikau Rd Off Ramp SB,Ramp,1N,461,13.29,SB,1,150.4007531,150.4007531,139.8168532,73.94387172,48.89241992,0,150.4007531,1400,,#N/A,Any2018-scaled
