Ref,SH,Plan Number,Detour Distance (km),Detour Speed (km/hr),Normal Distance ,Normal Speed ,Urban Road Class,Minimum # lane for Urban Road,Rural Road Directional Split,Rural Road Roadway Width,Terrain Type,% of Heavy Vehicle,Other Manual Capacity Input?,Detour Travel Time (min/veh),Normal Travel Time (min/veh),Rural Road Directional Adjustement,Rural Road Roadway Width Adjustement,Rural Road % Heavy Vehicle Adjustement,Urban Road Capacity,Rural Road Capacity,Detour Capacity (veh/hr),Detour Delay (min/veh),,,(for Input tab),,(From detour),,,
SH1N_R1D,SH1N,R1D,14.9,80,3.2,100,Class I,1,,,,,,11.175,1.92,-,-,-,1200,-,1200,9.255,http://g.co/maps/b2c9f,1 lane in Orewa,1060389.39,01N60389,"Jasmine Lau:
SH17 Off-Ramp SBD",,,
SH1N_R1C,SH1N,R1C,16.4,80,4.4,100,Class I,1,,,,,,12.3,2.64,-,-,-,1200,-,1200,9.66,http://g.co/maps/ewqs3,1 lane in Orewa,1050389.34,01N50389,"Jasmine Lau:
SH17 On-Ramp NBD",,,
SH1N_R2D,SH1N,R2D,9.3,80,4.9,60,Class I,1,,,,,,6.975,4.9,-,-,-,1200,-,1200,2.075,http://g.co/maps/5tghx,1 lane along HBC highway,1060393.68,01N60393,"Jasmine Lau:
Grand Drive (Orewa) Off-Ramp SBD",,,
SH1N_R2A,SH1N,R2A,8.3,80,7,80,Class I,1,,,,,,6.225,5.25,-,-,-,1200,-,1200,0.975,http://g.co/maps/n53g8,1 lane along HBC highway,1030398.24,01N30398,"Jasmine Lau:
Grand Drive (Orewa) On-Ramp SBD",,,
SH1N_R2B,SH1N,R2B,21.3,80,3.4,60,Class I,1,,,,,,15.975,3.4,-,-,-,1200,-,1200,12.575,http://g.co/maps/3f7sf,1 lane in Orewa,NONE,FALSENONE,"Jasmine Lau:
Grand Drive (Orewa) Off-Ramp NBD",,,
SH1N_R2C,SH1N,R2C,12.5,80,7.4,80,Class I,1,,,,,,9.375,5.55,-,-,-,1200,-,1200,3.825,http://g.co/maps/yczyn,1 lane in Orewa,1050381.5,01N50381,"Jasmine Lau:
Grand Drive (Orewa) On-Ramp NBD",,,
SH1N_R3D,SH1N,R3D,26.6,100,1.8,60,,,90/10,=> 8 metres,level,0.01,1400,15.96,1.8,0.77,1,0.988142292,-,1917.391304,1400,14.16,http://g.co/maps/ue9vc,1 lane LT slip-lane from Oteha Valley to East Coast Road,1060409.53,01N60409,"Jasmine Lau:
Silverdale Off-Ramp SBD",,,
SH1N_R3A,SH1N,R3A,17,90,13.7,105,Class I,1,90/10,=> 8 metres,level,0.01,,11.33333333,7.828571429,0.77,1,0.988142292,1200,1917.391304,1200,3.504761905,http://g.co/maps/tcbju,1 lane RT from East Coast Road to Oteha Valley,1030410.33,01N30410,"Jasmine Lau:
Silverdale On-Ramp SBD",,,
SH1N_R3B,SH1N,R3B,10,100,1.5,80,,,,,,,1400,6,1.125,-,-,-,-,-,1400,4.875,http://g.co/maps/97tqc,1 lane on Orewa Interchange,1040389.85,01N40389,"Jasmine Lau:
Silverdale Off-Ramp NBD",,,
SH1N_R3C,SH1N,R3C,11.3,80,5.7,100,Class I,1,,,,,,8.475,3.42,-,-,-,1200,-,1200,5.055,http://g.co/maps/76q67,1 lane along HBC highway,1050389.34,01N50389,"Jasmine Lau:
Silverdale On-Ramp NBD",,,
SH1N_R4D,SH1N,R4D,5,80,1,80,,,,,,,1400,3.75,0.75,-,-,-,-,-,1400,3,http://goo.gl/maps/oAHtC,1 lane @ Greville interchange,1060411.47,01N60411,"Jasmine Lau:
Oteha Valley Rd Off-Ramp SBD",,,
SH1N_R4A,SH1N,R4A,5.1,80,2.8,100,,,,,,,,3.825,1.68,-,-,-,-,-,-,2.145,http://g.co/maps/p7g3u,l lane LT from Oteha Valley to Albany Expressway,1030412.1,01N30412,"Jasmine Lau:
Oteha Valley Rd On-Ramp SBD",,,
SH1N_R4B,SH1N,R4B,25.4,100,1,80,,,,,,,1400,15.24,0.75,-,-,-,-,-,1400,14.49,http://g.co/maps/ze9wn,1 lane @ Silverdale Interchange,1040398.32,01N40398,"Jasmine Lau:
Oteha Valley Rd Off-Ramp NBD",,,
SH1N_R4C,SH1N,R4C,19.1,90,12.9,105,,,90/10,=> 8 metres,rolling,0.01,,12.73333333,7.371428571,0.77,1,0.961538462,-,1865.769231,1865.769231,5.361904762,http://g.co/maps/8dzt9,1 lane RT from Oteha Valley to SH17,1050393.73,01N50393,"Jasmine Lau:
Oteha Valley Rd On-Ramp NBD",,,
SH1N_R5D,SH1N,R5D,5,100,1.3,80,,,,,,,1400,3,0.975,-,-,-,-,-,1400,2.025,http://g.co/maps/fpgqm,1 lane @ Constellation interchange,1060413.5,01N60413,"Jasmine Lau:
Greville Rd Off-Ramp SBD",,,
SH1N_R5A,SH1N,R5A,6.5,60,3.3,105,Class I,1,,,,,,6.5,1.885714286,-,-,-,1200,-,1200,4.614285714,http://g.co/maps/bu5bj,1 lane along East Coast Road,1060413.5,01N60413,"Jasmine Lau:
Greville Rd On-Ramp SBD",,,
SH1N_R5B,SH1N,R5B,4.2,80,2.6,80,,,,,,,1400,3.15,1.95,-,-,-,-,-,1400,1.2,http://g.co/maps/9yndv,1 lane off Ramp at Oteha Valley,1040410.37,01N40410,"Jasmine Lau:
Greville Rd Off-Ramp NBD",,,
SH1N_R5C,SH1N,R5C,4.5,80,2.9,100,Class I,1,,,,,,3.375,1.74,-,-,-,1200,-,1200,1.635,http://g.co/maps/8m9a3,1 lane @ Oteha Valley NBD on Ramp,1050409.65,01N50409,"Jasmine Lau:
Greville Rd On-Ramp NBD",,,
SH1N_R6D,SH1N,R6D,6.6,100,1,80,,,,,,,1400,3.96,0.75,-,-,-,-,-,1400,3.21,http://g.co/maps/7gb6w,1 lane @ Tristram interchange,1060416.51,01N60416,"Jasmine Lau:
Constellation Dr Off-Ramp SBD",,,
SH1N_R6A-1,SH1N,R6A-1,6.3,50,3.8,105,Class I,1,,,,,,7.56,2.171428571,-,-,-,1200,-,1200,5.388571429,http://goo.gl/maps/NcZaC,1 lane along Albany Highway,18060002.03,01860002,"Jasmine Lau:
Constellation Dr On-Ramp NBD",,,
SH1N_R6A-2,SH1N,R6A-2,5.2,50,3.8,105,Class I,1,,,,,,6.24,2.171428571,-,-,-,1200,-,1200,4.068571429,http://goo.gl/maps/5XHFR,1 lane along Albany Highway,18060002.03,01860002,"Jasmine Lau:
Constellation Dr On-Ramp SBD",,,
SH1N_R6B,SH1N,R6B,5.8,100,1.6,60,,,,,,,1400,3.48,1.6,-,-,-,-,-,1400,1.88,http://g.co/maps/ceapj,1 lane @ Greville interchange,1040412.23,01N40412,"Jasmine Lau:
Constellation Dr Off-Ramp NBD",,,
SH1N_R6C,SH1N,R6C,6.5,60,2.9,105,Class I,1,,,,,,6.5,1.657142857,-,-,-,1200,-,1200,4.842857143,http://g.co/maps/dkcp5,1 lane along East Coast Road,1050411.97,01N50411,"Jasmine Lau:
Constellation Dr On-Ramp NBD",,,
SH1N_R7D,SH1N,R7D,5.1,100,1,60,,,,,,,1400,3.06,1,-,-,-,-,-,1400,2.06,http://g.co/maps/z426n,1 lane @ Northcote interchange,1060418.57,01N60418,"Jasmine Lau:
Tristram Ave Off-Ramp SBD",,,
SH1N_R7A,SH1N,R7A,3.4,50,2.8,105,Class I,2,,,,,1800,4.08,1.6,-,-,-,2400,-,1800,2.48,http://g.co/maps/f3m3t,2 lane along Wairau Rd but 1 lane at on and off Ramps,1030419.1,01N30419,"Jasmine Lau:
Tristram Ave On-Ramp SBD",,,
SH1N_R7B,SH1N,R7B,6.4,100,1,60,,,,,,,1400,3.84,1,-,-,-,-,-,1400,2.84,http://g.co/maps/q5vdz,1 lane @ Constellation interchange,1040414.74,01N40414,"Jasmine Lau:
Tristram Ave Off-Ramp NBD",,,
SH1N_R7C,SH1N,R7C,7.3,60,3.6,105,Class I,1,,,,,,7.3,2.057142857,-,-,-,1200,-,1200,5.242857143,http://g.co/maps/vp29u,1 lane along Albany Highway,1050413.46,01N50413,"Jasmine Lau:
Tristram Ave On-Ramp NBD",,,
SH1N_R8D,SH1N,R8D,4.2,100,1,60,,,,,,,1400,2.52,1,-,-,-,-,-,1400,1.52,http://g.co/maps/uhhdk,1 lane @ Esmonde interchange,1060419.98,01N60419,"Jasmine Lau:
Northcote Rd Off-Ramp SBD",,,
SH1N_R8A,SH1N,R8A,3.8,60,2.6,105,Class I,1,,,,,,3.8,1.485714286,-,-,-,1200,-,1200,2.314285714,http://goo.gl/maps/x4wI5,1 lane along Fred Thomas Drive,1030420.62,01N30420,"Jasmine Lau:
Northcote Rd On-Ramp SBD",,,
SH1N_R8B,SH1N,R8B,5.1,100,1,60,,,,,,,1400,3.06,1,-,-,-,-,-,1400,2.06,http://g.co/maps/thxne,1 lane @ Tristram interchange,1040417.09,01N40417,"Jasmine Lau:
Northcote Rd Off-Ramp NBD",,,
SH1N_R8C,SH1N,R8C,3.4,50,2.8,105,Class I,2,,,,,1800,4.08,1.6,-,-,-,2400,-,1800,2.48,http://g.co/maps/89qxh,2 lane along Wairau Rd but 1 lane at on and off Ramps,1040417.09,01N40417,"Jasmine Lau:
Northcote Rd On-Ramp NBD",,,
SH1N_R9D,SH1N,R9D,4.5,100,1,60,,,,,,,1400,2.7,1,-,-,-,-,-,1400,1.7,http://g.co/maps/w64aq,1 lane Ramps @ Onewa interchange,1060421.82,01N60421,"Jasmine Lau:
Esmonde Rd Off-Ramp SBD",,,
SH1N_R9A,SH1N,R9A,4.5,50,0.75,60,Class I,1,,,,,,5.4,0.75,-,-,-,1200,-,1200,4.65,http://goo.gl/maps/YUU3P,1 lane along College Road,1030419.1,01N30419,"Jasmine Lau:
Esmonde Rd On-Ramp SBD",,,
SH1N_R9B,SH1N,R9B,4.1,100,1,60,,,,,,,1400,2.46,1,-,-,-,-,-,1400,1.46,http://g.co/maps/snky9,1 lane @ Northcote interchange,1040419.11,01N40419,"Jasmine Lau:
Esmonde Rd Off-Ramp NBD",,,
SH1N_R9C,SH1N,R9C,3.3,50,2.2,105,Class I,1,,,,,,3.96,1.257142857,-,-,-,1200,-,1200,2.702857143,http://g.co/maps/y89wn,1 lane along Fred Thomas Drive,1040419.11,01N40419,"Jasmine Lau:
Esmonde Rd On-Ramp NBD",,,
SH1N_R10D,SH1N,R10D,10.3,100,1,80,Class I,1,,,,,,6.18,0.75,-,-,-,1200,-,1200,5.43,http://goo.gl/maps/LnYZw,1 lane RT from Shelly Beach to Sarsfield,1060426.12,01N60426,"Jasmine Lau:
Onewa Rd Off-Ramp SBD",,,
SH1N_R10A,SH1N,R10A,7.2,100,1,80,Class I,1,,,,,,4.32,0.75,-,-,-,1200,-,1200,3.57,http://goo.gl/maps/yevDj,1 lane u turn at Fred Thomas Drive,1040419.11,01N40419,"Jasmine Lau:
Onewa Rd On-Ramp SBD",,,
SH1N_R10B,SH1N,R10B,5.8,60,1.2,60,Class I,1,,,,,,5.8,1.2,-,-,-,1200,-,1200,4.6,http://goo.gl/maps/bCwIe,1 lane along College Road,1040420.75,01N40420,"Jasmine Lau:
Onewa Rd Off-Ramp NBD",,,
SH1N_R10C,SH1N,R10C,4.3,50,2.5,80,Class I,1,,,,,,5.16,1.875,-,-,-,1200,-,1200,3.285,http://g.co/maps/srs38,1 lane along College Road,1050420.1,01N50420,"Jasmine Lau:
Onewa Rd On-Ramp NBD",,,
SH1N_R11B,SH1N,R11B,2.3,60,1.1,50,Class I,1,,,,,,2.3,1.32,-,-,-,1200,-,1200,0.98,http://g.co/maps/r6t6y,1 lane LT from Onewa to Queen,1040422.22,01N40422,"Jasmine Lau:
Stafford Rd Off-Ramp NBD",,,
SH1N_R12D,SH1N,R12D,3.1,60,1.4,60,Class I,1,,,,,,3.1,1.4,-,-,-,1200,-,1200,1.7,http://g.co/maps/we5jc,1 lane RT from SH1 off Ramp to Beaumont,1060426.12,01N60426,"Jasmine Lau:
Shelly Beach Rd Off-Ramp SBD",,,
SH1N_R12C,SH1N,R12C,5.2,50,1,60,Class I,1,,,,,,6.24,1,-,-,-,1200,-,1200,5.24,http://goo.gl/maps/OmWuv,1 lane along Current St,1050426.17,01N50426,"Jasmine Lau:
Curran St On-Ramp NBD",,,
SH1N_R13D,SH1N,R13D,2.3,50,1.4,50,Class I,1,,,,,,2.76,1.68,-,-,-,1200,-,1200,1.08,http://g.co/maps/zs3n5,1 lane LT Cook to Nelson,1060426.9,01N60426,"Jasmine Lau:
Fanshawe St Off-Ramp SBD",,,
SH1N_R13C,SH1N,R13C,3.2,50,2.2,80,Class I,1,,,,,,3.84,1.65,-,-,-,1200,-,1200,2.19,http://g.co/maps/42w6v,1 lane RT from Fanshawe to Beaumont,1050424.96,01N50424,"Jasmine Lau:
Fanshawe St On-Ramp NBD",,,
SH1N_R14D,SH1N,R14D,4,70,1.6,50,Class I,1,,,,,,3.428571429,1.92,-,-,-,1200,-,1200,1.508571429,http://g.co/maps/j43ah,1 lane LT Port off Ramp to Wellesley,16040002.03,01640002,"Jasmine Lau:
Cook St Off-Ramp SBD",,,
SH1N_R14C,SH1N,R14C,2.1,50,1.6,80,Class I,1,,,,,,2.52,1.2,-,-,-,1200,-,1200,1.32,http://goo.gl/maps/AnAvA,Wellington St on Ramp!!,1050426.17,01N50426,"Jasmine Lau:
Wellington St On-Ramp - CLOSED!",,,
SH1N_R15A,SH1N,R15A,6.4,80,3.2,90,,,,,,,1400,4.8,2.133333333,-,-,-,-,-,1400,2.666666667,http://g.co/maps/6tz9k,CMJ - SH1N to Port Ramp - 1 lane at Gillies interchange,1060429.51,01N60429,"Jasmine Lau:
SH1N to Port ramp ",,,
SH1N_R15B,SH1N,R15B,2.8,60,2.4,80,Class I,1,,,,,,2.8,1.8,-,-,-,1200,-,1200,1,http://g.co/maps/nnwhh,CMJ - SH1N to SH16 - 1 lane along Cook St,1060426.9,01N60426,"Jasmine Lau:
SH1N to SH16 ",,,
SH1N_R15C,SH1N,R15C,7.8,100,1.5,90,,,,,,,1400,4.68,1,-,-,-,-,-,1400,3.68,http://g.co/maps/8x68b,CMJ - Port Ramp to SH1 N- 1 lane at St Lukes Interchange,16060006.04,01660006,"Jasmine Lau:
Port ramp to SH1 N",,,
SH1N_R15D,SH1N,R15D,3.5,50,2.9,90,,,,,,,1400,4.2,1.933333333,-,-,-,-,-,1400,2.266666667,http://goo.gl/maps/nfDTB,CMJ - SH16 to SH1N - 1 lane at Gillies interchange ,1050426.17,01N50426,"Jasmine Lau:
SH16 to SH1N",,,
SH1N_R15E,SH1N,R15E,1.9,50,1.6,80,Class I,1,,,,,,2.28,1.2,-,-,-,1200,-,1200,1.08,http://g.co/maps/jtcdp,CMJ -Symonds St on Ramp - 1 lane along Symonds St,1030428.99,01N30428,"Jasmine Lau:
Symonds St On-Ramp",,,
SH1N_R15F,SH1N,R15F,4.5,80,2.9,80,Class I,1,,,,,,3.375,2.175,-,-,-,1200,-,1200,1.2,http://goo.gl/maps/50kc5,CMJ - SH16 to SH1S - 1 lane along Grafton Road,16040002.03,01640002,"Jasmine Lau:
SH16(West) to SH1S",,,
SH1N_R15G,SH1N,R15G,2.2,50,2,80,Class I,1,,,,,,2.64,1.5,-,-,-,1200,-,1200,1.14,http://g.co/maps/sc54b,CMJ - SH1S to SH16 - 1 lane along St Benedicts,1045428.44,01N45428,"Jasmine Lau:
SH1S to SH16(West)",,,
SH1N_R15H,SH1N,R15H,1.5,50,1.6,80,Class I,1,,,,,,1.8,1.2,-,-,-,1200,-,1200,0.6,http://g.co/maps/97kwz,CMJ - Hobson St off - 1 lane RT to Symonds on,1030428.08,01N30428,"Jasmine Lau:
Hobson St On-Ramp",,,
SH1N_R15I,SH1N,R15I,13.2,100,2.3,80,,,,,,,1400,7.92,1.725,-,-,-,-,-,1400,6.195,http://g.co/maps/xmhsv,CMJ - Nelson St on - 1 lane RT at Onewa IC,1040422.22,01N40422,"Jasmine Lau:
Nelson St Off-Ramp",,,
SH1N_R15J,SH1N,R15J,10.3,100,2.5,80,,,,,,,1400,6.18,1.875,-,-,-,-,-,1400,4.305,http://g.co/maps/zarg8,CMJ - Port On Ramp SB - 1 lane RT @ St Lukes IC,16060006.04,01660006,"Yi-Min Huang:
Port to SH1S",,,
SH1N_R15K,SH1N,R15K,2,50,1.9,80,Class I,1,,,,,,2.4,1.425,-,-,-,1200,-,1200,0.975,http://g.co/maps/u9nkw,CMJ - Grafton On Ramp NB - 1 lane LT from Grafton to Khyber,1030428.99,01N30428,"Yi-Min Huang:
Grafton On SB",,,
SH1N_R15L,SH1N,R15L,3.3,60,1.6,60,Class I,1,,,,,,3.3,1.6,-,-,-,1200,-,1200,1.7,http://g.co/maps/tcyey,CMJ - Symonds off Ramp NB - 1 lane LT to Wellesley,16040002.03,01640002,"Yi-Min Huang:
Symonds Off NB",,,
SH1N_R15M,SH1N,R15M,1.7,60,1.3,80,Class I,1,,,,,,1.7,0.975,-,-,-,1200,-,1200,0.725,http://g.co/maps/wjgca,CMJ - Port off Ramp NB - 1 lane RT Wellesley,16040002.03,01640002,"Yi-Min Huang:
Port Off Ramp NB",,,
SH1N_R15N,SH1N,R15N,2.5,60,1.1,60,Class I,1,,,,,,2.5,1.1,-,-,-,1200,-,1200,1.4,http://g.co/maps/8hnrc,CMJ - Wellesley off Ramp NB - 1 lane LT to Alten Rd,NONE,FALSENONE,"Yi-Min Huang:
Wellesley Off NB",,,
SH1N_R15O,SH1N,R15O,4.5,60,1.9,80,Class I,1,,,,,,4.5,1.425,-,-,-,1200,-,1200,3.075,http://goo.gl/maps/jMgbr,,1040427.26,01N40427,,,,
SH1S_R16A-1,SH1S,R16A-1,3.7,60,0.75,60,Class I,1,,,,,,3.7,0.75,-,-,-,1200,-,1200,2.95,http://goo.gl/maps/qYhjw,1 lane along Khyber Pass,1037428.32,01N37428,"Jasmine Lau:
Khyber Pass Rd On-Ramp SBD: EB traffic",,,
SH1S_R16A-2,SH1S,R16A-2,3.3,60,0.65,60,Class I,1,,,,,,3.3,0.65,-,-,-,1200,-,1200,2.65,http://goo.gl/maps/PtuRc,1 lane along Khyber Pass,1037428.32,01N37428,"Jasmine Lau:
Khyber Pass Rd On-Ramp SBD: WB traffic",,,
SH1S_R16B,SH1S,R16B,1.6,60,1,60,Class I,1,,,,,,1.6,1,-,-,-,1200,-,1200,0.6,http://g.co/maps/wrbs3,1 lane along Symonds,1045428.44,01N45428,"Jasmine Lau:
Khyber Pass Rd Off-Ramp NBD",,,
SH1S_R17D,SH1S,R17D,3.9,60,1,60,Class I,1,,,,,,3.9,1,-,-,-,1200,-,1200,2.9,http://g.co/maps/uezzv,1 lane along Great South Road,1060431.52,01N60431,"Jasmine Lau:
Gillies Ave Off-Ramp SBD",,,
SH1S_R17C-1,SH1S,R17C-1,4.3,50,2.2,80,Class I,1,,,,,,5.16,1.65,-,-,-,1200,-,1200,3.51,http://g.co/maps/7fejq,1 lane along Khyber Pass,16030002.12,01630002,"Jasmine Lau:
Gillies Ave On-Ramp NBD: NB traffic",,,
SH1S_R17C-2,SH1S,R17C-2,4.9,50,1.7,80,Class I,1,,,,,,5.88,1.275,-,-,-,1200,-,1200,4.605,http://goo.gl/maps/gSkne,1 lane along Khyber Pass,16030002.12,01630002,"Jasmine Lau:
Gillies Ave On-Ramp NBD: SB traffic",,,
SH1S_R18A-1,SH1S,R18A-1,3.7,50,3.1,105,Class I,1,,,,,,4.44,1.771428571,-,-,-,1200,-,1200,2.668571429,http://g.co/maps/vmdws,1 lane along Great South Road,1030433.32,01N30433,"Jasmine Lau:
St Marks On-Ramp SBD: WB traffic",,,
SH1S_R18A-2,SH1S,R18A-2,3.8,50,3.1,105,Class I,1,,,,,,4.56,1.771428571,-,-,-,1200,-,1200,2.788571429,http://goo.gl/maps/KIXO9,1 LT to Remuera Rd and St Marks Rd,1030433.32,01N30433,"Jasmine Lau:
St Marks On-Ramp SBD: EB traffic",,,
SH1S_R19D,SH1S,R19D,5.1,100,1,60,,,,,,,1400,3.06,1,-,-,-,-,-,1400,2.06,http://g.co/maps/z24xz,1 lane @ Ellersllie Interchange,1060434.94,01N60434,"Jasmine Lau:
Green Lane East Off-Ramp SBD",,,
SH1S_R19A,SH1S,R19A,3.4,50,2.9,105,Class I,1,,,,,,4.08,1.657142857,-,-,-,1200,-,1200,2.422857143,http://g.co/maps/9rnxa,1 lane along Great South Road,1030435.42,01N30435,"Jasmine Lau:
Green Lane East On-Ramp SBD: same route for both directions traffic",,,
SH1S_R19B,SH1S,R19B,3,60,1,60,Class I,1,,,,,,3,1,-,-,-,1200,-,1200,2,http://g.co/maps/vnj2z,1 lane along Great South Road,1040432.02,01N40432,"Jasmine Lau:
Green Lane East Off-Ramp NBD",,,
SH1S_R19C,SH1S,R19C,3.9,50,3.3,105,Class I,1,,,,,,4.68,1.885714286,-,-,-,1200,-,1200,2.794285714,http://g.co/maps/8kr9x,1 lane along Great South Road,1050429.48,01N50429,"Jasmine Lau:
Green Lane East On-Ramp NBD: Same route for both directions traffic",,,
SH1S_R20D,SH1S,R20D,2.8,60,0.5,50,Class I,1,,,,,,2.8,0.6,-,-,-,1200,-,1200,2.2,http://g.co/maps/n378h,1 lane along Main Highway,1060434.94,01N60434,"Jasmine Lau:
Tecoma St Off-Ramp SBD",,,
SH1S_R20A,SH1S,R20A,2.1,50,1.4,105,Class I,1,,,,,,2.52,0.8,-,-,-,1200,-,1200,1.72,http://g.co/maps/78mg6,1 lane along Main Highway,1030435.42,01N30435,"Jasmine Lau:
Tecoma St On-Ramp SBD",,,
SH1S_R21D,SH1S,R21D,7.2,100,1,60,,,,,,,1400,4.32,1,-,-,-,-,-,1400,3.32,http://goo.gl/maps/CKein,1 lane @ SEART interchange,1060437.92,01N60437,"Jasmine Lau:
EP Off-Ramp SBD: Same route for both directions traffic",,,
SH1S_R21A,SH1S,R21A,5.1,75,0.23,105,Class I,1,,,,,,4.08,0.131428571,-,-,-,1200,-,1200,3.948571429,http://g.co/maps/vseqg,1 lane along Great South Road,1030434.16,01N30434,"Jasmine Lau:
EP On-Ramp SBD: Same route for both directions traffic",,,
SH1S_R21B,SH1S,R21B,4.8,90,0.29,60,,,,,,,1400,3.2,0.29,-,-,-,-,-,1400,2.91,http://g.co/maps/5zk9y,1 lane @ Greenlane interchange,1040433.3,01N40433,"Jasmine Lau:
EP Off-Ramp NBD",,,
SH1S_R21C,SH1S,R21C,3.4,50,2.8,105,Class I,1,,,,,,4.08,1.6,-,-,-,1200,-,1200,2.48,http://g.co/maps/vsx67,1 lane along Great South Road,1050432.86,01N50432,"Jasmine Lau:
EP On-Ramp NBD: same route for both directions traffic",,,
SH1S_R22D,SH1S,R22D,4.7,60,1,80,Class I,1,,,,,,4.7,0.75,-,-,-,1200,-,1200,3.95,http://g.co/maps/sc4r5,1 lane along Sylvia Park Road,1060437.92,01N60437,"Jasmine Lau:
SEART Off-Ramp SBD",,,
SH1S_R22C-1,SH1S,R22C-1,3.5,50,2.6,105,Class I,1,,,,,,4.2,1.485714286,-,-,-,1200,-,1200,2.714285714,http://g.co/maps/nnf3y,1 lane along Great South Road,1050435.02,01N50435,"Jasmine Lau:
SEART On-Ramp NBD: WB traffic",,,
SH1S_R22C-2,SH1S,R22C-2,5.4,50,0.45,105,Class I,1.5,,,,,,6.48,0.257142857,-,-,-,1800,-,1800,6.222857143,http://g.co/maps/6kusd,"2 RT from SEART to Carbine Rd, 1 RT to Clemow Dr/RAB, 2 LT to on-Ramp",1050438.16,01N50438,"Jasmine Lau:
SEART On-Ramp NBD: EB traffic",,,
SH1S_R23D,SH1S,R23D,6.6,100,1,60,,,,,,,1400,3.96,1,-,-,-,-,-,1400,2.96,http://g.co/maps/zpmgy,1 lane @ Princes St Interchange,1060440.62,01N60440,"Jasmine Lau:
Mt Wellington Off-Ramp SBD",,,
SH1S_R23A-1,SH1S,R23A-1,4.3,50,3.4,105,Class I,1,,,,,,5.16,1.942857143,-,-,-,1200,-,1200,3.217142857,http://g.co/maps/v8av7,1 lane along Princes St,1030441.19,01N30441,"Jasmine Lau:
Mt Wellington On-Ramp SBD",,,
SH1S_R23A-2,SH1S,R23A-2,7,50,3,105,Class I,1,,,,,,8.4,1.714285714,-,-,-,1200,-,1200,6.685714286,http://g.co/maps/r7j9d,1 RT to Waipuna Rd,1030441.19,01N30441,"Jasmine Lau:
Mt Wellington On-Ramp SBD",,,
SH1S_R23B,SH1S,R23B,7.6,100,1,60,,,,,,,1400,4.56,1,-,-,-,-,-,1400,3.56,http://g.co/maps/yztca,1 lane @ Ellersllie Interchange,1040435.54,01N40435,"Jasmine Lau:
Mt Wellington Off-Ramp NBD",,,
SH1S_R23C-1,SH1S,R23C-1,4.9,50,1.7,105,Class I,1.5,,,,,,5.88,0.971428571,-,-,-,1800,-,1800,4.908571429,http://g.co/maps/vbkr8,"1 RT to Waipuna Rd, 2 RT to Carbine (1 lane) and SEART, 2 lane on-Ramp",1050436.75,01N50436,"Jasmine Lau:
Mt Wellington On-Ramp NBD: EB traffic",,,
SH1S_R23C-2,SH1S,R23C-2,2.8,50,1.7,105,Class I,1.5,,,,,,3.36,0.971428571,-,-,-,1800,-,1800,2.388571429,http://g.co/maps/qx3my,"2 RT to Sylvia Park Rd and GSR, 1 RT to Church St",1050436.75,01N50436,"Jasmine Lau:
Mt Wellington On-Ramp NBD: WB traffic",,,
SH1S_R24D,SH1S,R24D,4.2,100,1.1,60,,,,,,,1400,2.52,1.1,-,-,-,-,-,1400,1.42,http://g.co/maps/ga92g,1 lane @ Princes St Interchange,1060442.4,01N60442,"Jasmine Lau:
Princes St Off-Ramp SBD",,,
SH1S_R24A,SH1S,R24A,4.9,50,2.4,105,Class I,1.5,,,,,,5.88,1.371428571,-,-,-,1800,-,1800,4.508571429,http://g.co/maps/789t6,"1 LT to GSR and Bairds Rd, 2 RT to on-Ramp",1030442.8,01N30442,"Jasmine Lau:
Princes St On-Ramp SBD: same route for both directions traffic",,,
SH1S_R24B,SH1S,R24B,5.4,100,1.2,60,,,,,,,1400,3.24,1.2,-,-,-,-,-,1400,2.04,http://g.co/maps/rrzrp,1 lane @ Mt Wellington,1040438.89,01N40438,"Jasmine Lau:
Princes St Off-Ramp NBD",,,
SH1S_R24C,SH1S,R24C,3.9,50,0.3,105,,,,,,,1400,4.68,0.171428571,-,-,-,-,-,1400,4.508571429,http://g.co/maps/uhpst,1 circulating RAB lane,1060442.4,01N60442,"Jasmine Lau:
Princes St On-Ramp NBD: same route for both directions traffic",,,
SH1S_R25D,SH1S,R25D,3.7,75,0.3,60,,,,,,,1400,2.96,0.3,-,-,-,-,-,1400,2.66,http://g.co/maps/vapgz,1 lane @ East Tamaki Interchange,1060443.89,01N60443,"Jasmine Lau:
Highbrook Drive Off-Ramp SBD",,,
SH1S_R25A,SH1S,R25A,2.7,50,2.3,105,Class I,1,,,,,,3.24,1.314285714,-,-,-,1200,-,1200,1.925714286,http://g.co/maps/ktgnj,1 lane along Bairds Road,1030444.32,01N30444,"Jasmine Lau:
Highbrook Drive On-Ramp SBD: same route for both directions traffic",,,
SH1S_R25B,SH1S,R25B,4,100,1,60,,,,,,,1400,2.4,1,-,-,-,-,-,1400,1.4,http://g.co/maps/dsf5z,1 lane @ Princes St Interchange,1040441.29,01N40441,"Jasmine Lau:
Highbrook Drive Off-Ramp NBD",,,
SH1S_R25C,SH1S,R25C,5.5,50,2.5,105,Class I,1,,,,,,6.6,1.428571429,-,-,-,1200,-,1200,5.171428571,http://g.co/maps/kvvuw,1 lane along Great South Road,1050440.79,01N50440,"Jasmine Lau:
Highbrook Drive On-Ramp NBD",,,
