Ref,SH,Plan Number,Detour Distance (km),Detour Speed (km/hr),Normal Distance ,Normal Speed ,Urban Road Class,Minimum # lane for Urban Road,Rural Road Directional Split,Rural Road Roadway Width,Terrain Type,% of Heavy Vehicle,Other Manual Capacity Input?,Detour Travel Time (min/veh),Normal Travel Time (min/veh),Rural Road Directional Adjustement,Rural Road Roadway Width Adjustement,Rural Road % Heavy Vehicle Adjustement,Urban Road Capacity,Rural Road Capacity,Detour Capacity (veh/hr),Detour Delay (min/veh),,,(for Input tab),,(From detour),,,
SH1S_14,SH1S,14,6,40,4.4,105,Class I,1,,,,,,9,2.514285714,-,-,-,1200,-,1200,6.485714286,http://g.co/maps/pxh76,1 lane RT Redoubt to on Ramp,1060443.89,01N60443,"Jasmine Lau:
closure between East Tamaki Rd On-Ramp and Te Irirangi Dr Off-Ramp SBD",,,
SH1S_15,SH1S,15,2.5,40,1.6,105,Class I,1,,,,,,3.75,0.914285714,-,-,-,1200,-,1200,2.835714286,http://g.co/maps/adwun,1 lane RT Redoubt to on Ramp,1060446.71,01N60446,"Jasmine Lau:
closure between Te Irirangi Dr Off-Ramp and Redoubt Rd On-Ramp SBD",,,
SH1S_15A,SH1S,15A,2.2,60,2.2,105,Class I,1,,,,,,2.2,1.257142857,-,-,-,1200,-,1200,0.942857143,http://goo.gl/maps/uS6T1,1 lane LT Redoubt to GSR,1060447.5,01N60447,"Yi-Min Huang:
Closure between Redoubt off ramp and southwestern off ramp",,,
SH1S_16,SH1S,16,6.9,40,6.2,105,Class I,1,,,,,,10.35,3.542857143,-,-,-,1200,-,1200,6.807142857,http://g.co/maps/e36ed,1 lane LT Redoubt to GSR,1060447.5,01N60447,"Jasmine Lau:
closure between Redoubt Rd Off-Ramp and Hill Rd Off-Ramp SBD",,,
SH1S_17,SH1S,17,4.5,40,3.5,105,Class I,1,,,,,,6.75,2,-,-,-,1200,-,1200,4.75,http://goo.gl/maps/dswUs,1 lane RT from Hill to Stratford,1060450.85,01N60450,"Jasmine Lau:
closure between Hill Rd Off-Ramp and Takanini Off-Ramp SBD",,,
SH1S_17A,SH1S,17A,7.2,40,4.6,105,Class I,1,,,,,,10.8,2.628571429,-,-,-,1200,-,1200,8.171428571,http://g.co/maps/pb4cj,1 lane on Ramp,1060453.45,01N60453,"Yi-Min Huang:
Takanini IC SBD",,,
SH1S_18,SH1S,18,7.2,40,4.6,105,Class I,1,,,,,,10.8,2.628571429,-,-,-,1200,-,1200,8.171428571,http://g.co/maps/pb4cj,1 lane along GSR,1060453.45,01N60453,"Jasmine Lau:
closure between Takanini On-Ramp and Papakura Off-Ramp SBD",,,
SH1S_19,SH1S,19,6.2,50,4.6,105,Class I,1,,,,,,7.44,2.628571429,-,-,-,1200,-,1200,4.811428571,http://g.co/maps/mpbgj,1 lane along GSR,1060457.78,01N60457,"Jasmine Lau:
closure between Papakura Off-Ramp and Drury Off-Ramp SBD",,,
SH1S_20,SH1S,20,6.4,90,5.2,105,,,90/10,=> 8 metres,level,0.01,,4.266666667,2.971428571,0.77,1,0.988142292,-,1917.391304,1917.391304,1.295238095,http://g.co/maps/uswzs,,1060461.88,01N60461,"Jasmine Lau:
closure between Drury On-Ramp and Ramarama Off-Ramp SBD",,,
SH1S_21,SH1S,21,8.4,90,6.8,105,,,90/10,=> 8 metres,level,0.01,,5.6,3.885714286,0.77,1,0.988142292,-,1917.391304,1917.391304,1.714285714,http://g.co/maps/3448t,,1060465.38,01N60465,"Jasmine Lau:
closure between Ramarama On-Ramp and Bombay Off-Ramp SBD",,,
