Site,Cluster,Free SpeedM,ScM,NM,Free SpeedD,ScD,ND
01N20456,C9,100,80,1.2,55,25,1.4
01N20458,C9,100,80,1.2,55,25,1.4
01N20459,C9,100,80,1.2,55,25,1.4
01N20462,C9,100,80,1.2,55,25,1.4
01N40454,C9,100,80,1.2,55,25,1.4
01N40458,C9,100,80,1.2,55,25,1.4
01N40462,C9,100,80,1.2,55,25,1.4
01N60451,C9,100,80,1.2,55,25,1.4
01N60454,C9,100,80,1.2,55,25,1.4
01N60458,C9,100,80,1.2,55,25,1.4
01N60462,C9,100,80,1.2,55,25,1.4
